PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1627884,Derrick Jones Jr.,1610612746,LAC,45,23,22,1226.0,479977,90.9,47.3,43.6,4.27,4.35,4.19,2025-26,Regular Season,SpeedDistance
1628401,Derrick White,1610612738,BOS,73,49,24,2500.0,950345,180.0,101.8,78.2,4.19,4.52,3.83,2025-26,Regular Season,SpeedDistance
1630217,Desmond Bane,1610612753,ORL,77,41,36,2625.0,1022441,193.6,103.2,90.4,4.28,4.57,3.99,2025-26,Regular Season,SpeedDistance
1626164,Devin Booker,1610612756,PHX,61,35,26,2035.0,744064,140.9,78.1,62.8,4.03,4.46,3.61,2025-26,Regular Season,SpeedDistance
1642269,Devin Carter,1610612758,SAC,34,7,27,574.0,237194,44.9,24.3,20.7,4.44,4.74,4.15,2025-26,Regular Season,SpeedDistance
1630170,Devin Vassell,1610612759,SAS,62,49,13,1883.0,729365,138.1,73.1,65.0,4.41,4.82,4.02,2025-26,Regular Season,SpeedDistance
1628415,Dillon Brooks,1610612756,PHX,52,30,22,1581.0,586966,111.2,56.9,54.3,4.1,4.28,3.93,2025-26,Regular Season,SpeedDistance
1641794,Dillon Jones,1610612752,NYK,6,5,1,27.0,11564,2.2,1.2,1.0,4.45,4.47,4.43,2025-26,Regular Season,SpeedDistance
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,215372,40.8,21.6,19.2,4.37,4.54,4.19,2025-26,Regular Season,SpeedDistance
1631230,Dominick Barlow,1610612755,PHI,66,38,28,1581.0,661136,125.2,65.8,59.4,4.6,4.79,4.41,2025-26,Regular Season,SpeedDistance
1642270,Donovan Clingan,1610612757,POR,73,39,34,1983.0,740486,140.2,74.5,65.8,4.12,4.39,3.85,2025-26,Regular Season,SpeedDistance
1628378,Donovan Mitchell,1610612739,CLE,68,43,25,2275.0,851049,161.2,88.7,72.5,4.13,4.75,3.55,2025-26,Regular Season,SpeedDistance
1628978,Donte DiVincenzo,1610612750,MIN,77,46,31,2379.0,928558,175.9,93.1,82.8,4.34,4.64,4.05,2025-26,Regular Season,SpeedDistance
1627827,Dorian Finney-Smith,1610612745,HOU,36,22,14,599.0,229779,43.5,23.4,20.1,4.05,4.17,3.92,2025-26,Regular Season,SpeedDistance
203926,Doug McDermott,1610612758,SAC,25,7,18,360.0,145342,27.5,15.3,12.3,4.3,4.67,3.94,2025-26,Regular Season,SpeedDistance
1642962,Drake Powell,1610612751,BKN,59,14,45,1204.0,488064,92.4,48.5,43.9,4.41,4.66,4.16,2025-26,Regular Season,SpeedDistance
203110,Draymond Green,1610612744,GSW,64,30,34,1762.0,622913,118.0,63.6,54.4,3.9,4.16,3.64,2025-26,Regular Season,SpeedDistance
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,215194,40.8,21.3,19.4,4.46,4.75,4.17,2025-26,Regular Season,SpeedDistance
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,23728,4.5,2.4,2.1,4.34,4.62,4.07,2025-26,Regular Season,SpeedDistance
1631166,Drew Timme,1610612747,LAL,23,15,8,186.0,74511,14.1,7.5,6.6,4.24,4.37,4.1,2025-26,Regular Season,SpeedDistance
1630696,Dru Smith,1610612748,MIA,69,37,32,1129.0,474894,89.9,46.9,43.1,4.64,5.12,4.23,2025-26,Regular Season,SpeedDistance
1629130,Duncan Robinson,1610612765,DET,73,54,19,2018.0,817408,154.8,83.1,71.7,4.52,4.85,4.18,2025-26,Regular Season,SpeedDistance
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,98823,18.7,9.8,8.9,4.37,4.54,4.21,2025-26,Regular Season,SpeedDistance
203939,Dwight Powell,1610612742,DAL,58,17,41,813.0,334720,63.4,33.3,30.1,4.52,4.78,4.26,2025-26,Regular Season,SpeedDistance
1642928,Dylan Cardwell,1610612758,SAC,40,12,28,809.0,315193,59.7,31.8,27.9,4.11,4.29,3.93,2025-26,Regular Season,SpeedDistance
1642844,Dylan Harper,1610612759,SAS,64,50,14,1433.0,570911,108.1,56.5,51.6,4.39,4.65,4.14,2025-26,Regular Season,SpeedDistance
1630700,Dyson Daniels,1610612737,ATL,73,43,30,2419.0,980738,185.7,96.4,89.4,4.5,4.92,4.13,2025-26,Regular Season,SpeedDistance
1630604,E.J. Liddell,1610612751,BKN,21,3,18,203.0,79584,15.1,8.0,7.0,4.18,4.59,3.76,2025-26,Regular Season,SpeedDistance
