PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,10,8,0.375,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,0.444,2025-26,Regular Season,Efficiency
1631207,Dalen Terry,1610612755,PHI,47,21,26,547.0,174,42,0.432,60,0.357,16,0.375,10,0.385,0,0.0,7,1.0,0.513,2025-26,Regular Season,Efficiency
1642261,Dalton Knecht,1610612747,LAL,50,31,19,515.0,201,48,0.553,81,0.321,44,0.455,24,0.625,0,0.0,8,0.8,0.534,2025-26,Regular Season,Efficiency
1629655,Daniel Gafford,1610612742,DAL,54,11,43,1175.0,517,42,0.457,4,0.5,4,0.4,366,0.72,26,0.6,77,0.653,0.657,2025-26,Regular Season,Efficiency
1642450,Daniss Jenkins,1610612765,DET,67,50,17,1333.0,620,201,0.391,152,0.473,153,0.349,37,0.727,0,0.0,14,0.556,0.482,2025-26,Regular Season,Efficiency
1642874,Danny Wolf,1610612751,BKN,57,14,43,1187.0,508,145,0.452,174,0.326,40,0.278,72,0.625,6,0.333,20,0.462,0.482,2025-26,Regular Season,Efficiency
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,5,0,0.0,3,0.333,0,0.0,0,0.0,0,0.0,0,0.0,0.25,2025-26,Regular Season,Efficiency
1641727,Dariq Whitehead,1610612763,MEM,1,0,1,22.0,8,2,1.0,0,0.0,3,0.25,0,0.0,0,0.0,0,0.0,0.35,2025-26,Regular Season,Efficiency
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2025-26,Regular Season,Efficiency
1629636,Darius Garland,1610612746,LAC,41,23,18,1224.0,775,265,0.491,155,0.423,294,0.414,12,0.6,0,0.0,6,0.75,0.559,2025-26,Regular Season,Efficiency
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,32,19,0.533,3,0.333,6,0.667,2,0.5,0,0.0,0,0.0,0.58,2025-26,Regular Season,Efficiency
1631223,David Roddy,1610612743,DEN,3,2,1,14.0,4,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.2,2025-26,Regular Season,Efficiency
1630558,Davion Mitchell,1610612748,MIA,66,35,31,1888.0,606,271,0.564,194,0.392,113,0.438,4,0.5,0,0.0,4,0.667,0.567,2025-26,Regular Season,Efficiency
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,540,42,0.5,24,0.229,3,0.143,401,0.671,35,0.55,70,0.66,0.614,2025-26,Regular Season,Efficiency
1628368,De'Aaron Fox,1610612759,SAS,67,52,15,2069.0,1242,490,0.558,219,0.398,380,0.404,53,0.758,2,0.5,27,0.722,0.553,2025-26,Regular Season,Efficiency
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,615,146,0.478,193,0.333,134,0.397,51,0.688,0,0.0,35,0.737,0.49,2025-26,Regular Season,Efficiency
1629001,De'Anthony Melton,1610612744,GSW,44,21,23,1012.0,552,218,0.497,160,0.335,55,0.229,44,0.526,6,1.0,10,0.5,0.468,2025-26,Regular Season,Efficiency
201599,DeAndre Jordan,1610612740,NOP,12,6,6,199.0,53,0,0.0,0,0.0,0,0.0,45,0.679,1,0.0,8,1.0,0.656,2025-26,Regular Season,Efficiency
1630610,DeJon Jarreau,1610612763,MEM,11,2,9,231.0,88,33,0.542,16,0.214,10,0.294,8,0.571,0,0.0,6,0.75,0.422,2025-26,Regular Season,Efficiency
