PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631096,Chet Holmgren,1610612760,OKC,66,53,13,1922.0,2982,113,31,55,0.564,10,14,0.714,74,0.655,36,0.319,9,0.25,11,0.097,6,0.053,2025-26,Regular Season,ElbowTouch
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,113,2,1,1,1.0,0,0,0.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,31,2,0,0,0.0,0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,510,6,0,0,0.0,0,0,0.0,0,0.0,6,1.0,1,0.167,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642959,Chris Youngblood,1610612757,POR,33,28,5,183.0,183,1,1,1,1.0,0,0,0.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1631128,Christian Braun,1610612743,DEN,41,26,15,1294.0,1938,74,19,32,0.594,13,14,0.929,52,0.703,25,0.338,5,0.2,6,0.081,5,0.068,2025-26,Regular Season,ElbowTouch
1631132,Christian Koloko,1610612737,ATL,26,16,10,335.0,383,20,1,6,0.167,1,2,0.5,3,0.15,11,0.55,1,0.091,2,0.1,1,0.05,2025-26,Regular Season,ElbowTouch
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,31,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
203991,Clint Capela,1610612745,HOU,70,43,27,868.0,1090,86,14,25,0.56,10,18,0.556,38,0.442,48,0.558,13,0.271,3,0.035,8,0.093,2025-26,Regular Season,ElbowTouch
1629632,Coby White,1610612766,CHA,47,27,20,1198.0,2505,13,2,4,0.5,2,2,1.0,7,0.538,6,0.462,1,0.167,1,0.077,2,0.154,2025-26,Regular Season,ElbowTouch
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,73,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642262,Cody Williams,1610612762,UTA,63,15,48,1487.0,1929,55,19,32,0.594,5,8,0.625,43,0.782,17,0.309,1,0.059,2,0.036,4,0.073,2025-26,Regular Season,ElbowTouch
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,1285,2,0,0,0.0,0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,2025-26,Regular Season,ElbowTouch
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,15,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1631221,Collin Gillespie,1610612756,PHX,76,41,35,2191.0,4612,38,4,5,0.8,1,2,0.5,11,0.289,31,0.816,10,0.323,1,0.026,1,0.026,2025-26,Regular Season,ElbowTouch
1642867,Collin Murray-Boyles,1610612761,TOR,53,28,25,1164.0,1771,119,25,38,0.658,5,10,0.5,59,0.496,63,0.529,13,0.206,6,0.05,6,0.05,2025-26,Regular Season,ElbowTouch
1629012,Collin Sexton,1610612741,CHI,63,23,40,1463.0,2984,33,7,16,0.438,7,10,0.7,20,0.606,8,0.242,1,0.125,1,0.03,4,0.121,2025-26,Regular Season,ElbowTouch
1642843,Cooper Flagg,1610612742,DAL,65,20,45,2197.0,4462,74,28,39,0.718,12,12,1.0,70,0.946,25,0.338,3,0.12,3,0.041,6,0.081,2025-26,Regular Season,ElbowTouch
